sample,author_key,author,title,written,published,group,genre,words,raw_file,source_url
jefferson_1.txt,jefferson,Thomas Jefferson (Va.),"Letters 1816-1826 (Memoir, Correspondence and Miscellanies vol. 4, 1829)",1816-1826,1829,early,letters,2179,gutenberg_16784.txt,https://www.gutenberg.org/ebooks/16784
jefferson_2.txt,jefferson,Thomas Jefferson (Va.),"Letters 1816-1826 (Memoir, Correspondence and Miscellanies vol. 4, 1829)",1816-1826,1829,early,letters,2080,gutenberg_16784.txt,https://www.gutenberg.org/ebooks/16784
jefferson_3.txt,jefferson,Thomas Jefferson (Va.),"Letters 1816-1826 (Memoir, Correspondence and Miscellanies vol. 4, 1829)",1816-1826,1829,early,letters,2235,gutenberg_16784.txt,https://www.gutenberg.org/ebooks/16784
jefferson_4.txt,jefferson,Thomas Jefferson (Va.),"Letters 1816-1826 (Memoir, Correspondence and Miscellanies vol. 4, 1829)",1816-1826,1829,early,letters,2009,gutenberg_16784.txt,https://www.gutenberg.org/ebooks/16784
randolph_1.txt,randolph,John Randolph of Roanoke (Va.),Letters to a Young Relative (1834),1806-1832,1834,early,letters,2032,archive_lettersofjohnran00rand.txt,https://archive.org/details/lettersofjohnran00rand
randolph_2.txt,randolph,John Randolph of Roanoke (Va.),Letters to a Young Relative (1834),1806-1832,1834,early,letters,2092,archive_lettersofjohnran00rand.txt,https://archive.org/details/lettersofjohnran00rand
randolph_3.txt,randolph,John Randolph of Roanoke (Va.),Letters to a Young Relative (1834),1806-1832,1834,early,letters,2044,archive_lettersofjohnran00rand.txt,https://archive.org/details/lettersofjohnran00rand
randolph_4.txt,randolph,John Randolph of Roanoke (Va.),Letters to a Young Relative (1834),1806-1832,1834,early,letters,2044,archive_lettersofjohnran00rand.txt,https://archive.org/details/lettersofjohnran00rand
jackson_1.txt,jackson,Andrew Jackson (Tenn.),Correspondence vol. 3 (letters 1820-1828; Bassett 1928),1820-1828,1928,early,letters,2102,archive_correspondenceof0003jack.txt,https://archive.org/details/correspondenceof0003jack
jackson_2.txt,jackson,Andrew Jackson (Tenn.),Correspondence vol. 3 (letters 1820-1828; Bassett 1928),1820-1828,1928,early,letters,2103,archive_correspondenceof0003jack.txt,https://archive.org/details/correspondenceof0003jack
