file	source_url	description	status
gutenberg_16784.txt	https://www.gutenberg.org/ebooks/16784	Jefferson, Memoir, Correspondence and Miscellanies vol. 4 (letters 1816-1826; ed. T.J. Randolph 1829)	present
gutenberg_43774.txt	https://www.gutenberg.org/ebooks/43774	Pike, Expeditions of Zebulon M. Pike vol. 1 (journals 1805-07, publ. 1810; Coues ed. 1895)	present
gutenberg_16565.txt	https://www.gutenberg.org/ebooks/16565	Biddle/Lewis & Clark, History of the Expedition vol. 1 (1814; Coues ed. 1893)	present
gutenberg_44205.txt	https://www.gutenberg.org/ebooks/44205	Gregg, Commerce of the Prairies part 2 (1844; Thwaites ed. 1905)	present
gutenberg_46110.txt	https://www.gutenberg.org/ebooks/46110	Pattie, Personal Narrative (1831; Thwaites ed. 1905)	present
gutenberg_62018.txt	https://www.gutenberg.org/ebooks/62018	Fowler, Journal of Jacob Fowler (1821-22; Coues ed. 1898)	present
gutenberg_39975.txt	https://www.gutenberg.org/ebooks/39975	Audubon and His Journals vol. 1 (European journal 1826-29 etc.; 1897)	present
gutenberg_2323.txt	https://www.gutenberg.org/ebooks/2323	R.E. Lee, Recollections and Letters (letters 1860s-1870; 1904)	present
gutenberg_19831.txt	https://www.gutenberg.org/ebooks/19831	Jefferson Davis, Rise and Fall of the Confederate Government vol. 1 (1881)	present
gutenberg_26725.txt	https://www.gutenberg.org/ebooks/26725	T.N. Page, Two Little Confederates (1888)	present
gutenberg_10234.txt	https://www.gutenberg.org/ebooks/10234	G.W. Cable, Old Creole Days (1879)	present
gutenberg_51211.txt	https://www.gutenberg.org/ebooks/51211	G.C. Eggleston, A Rebel's Recollections (1874)	present
gutenberg_245.txt	https://www.gutenberg.org/ebooks/245	Mark Twain, Life on the Mississippi (1883)	present
gutenberg_10692.txt	https://www.gutenberg.org/ebooks/10692	J.E. Cooke, A Life of Gen. Robert E. Lee (1871)	present
gutenberg_2147.txt	https://www.gutenberg.org/ebooks/2147	Poe, Works vol. 1 (incl. The Gold-Bug, 1843)	present
gutenberg_2148.txt	https://www.gutenberg.org/ebooks/2148	Poe, Works vol. 2	present
gutenberg_8424.txt	https://www.gutenberg.org/ebooks/8424	J.E. Cooke, Mohun (1869)	present
gutenberg_23283.txt	https://www.gutenberg.org/ebooks/23283	J.E. Cooke, The Youth of Jefferson (1854)	present
gutenberg_3195.txt	https://www.gutenberg.org/ebooks/3195	Mark Twain's Letters vol. 3, 1876-1885 (Paine ed. 1917)	present
archive_selectionsfrommi02bagbrich.txt	https://archive.org/details/selectionsfrommi02bagbrich	G.W. Bagby, Selections from the Miscellaneous Writings vol. 2 (1885)	present
archive_selectionsfromm00bagbgoog.txt	https://archive.org/details/selectionsfromm00bagbgoog	G.W. Bagby, Selections from the Miscellaneous Writings vol. 1 (1884)	present
archive_virginiaahistor02cookgoog.txt	https://archive.org/details/virginiaahistor02cookgoog	J.E. Cooke, Virginia: A History of the People (1883)	present
archive_correspondenceof0003jack.txt	https://archive.org/details/correspondenceof0003jack	Correspondence of Andrew Jackson vol. 3, 1820-1828 (Bassett ed. 1928)	present
archive_memjohnquincy05adamrich.txt	https://archive.org/details/memjohnquincy05adamrich	Memoirs of John Quincy Adams vol. 5 (diary 1819-1821; 1875)	present
archive_recollectionsofl00flin_0.txt	https://archive.org/details/recollectionsofl00flin_0	Timothy Flint, Recollections of the Last Ten Years (1826)	present
archive_lettersofjohnran00rand.txt	https://archive.org/details/lettersofjohnran00rand	Letters of John Randolph to a Young Relative (letters 1806-1832; 1834)	present
archive_memoirsoflifeofw01kenn.txt	https://archive.org/details/memoirsoflifeofw01kenn	Kennedy, Memoirs of the Life of William Wirt vol. 1 (Wirt letters 1800-1820s; 1849)	present
archive_memoirsoflife02kenn.txt	https://archive.org/details/memoirsoflife02kenn	Kennedy, Memoirs of the Life of William Wirt vol. 2 (Wirt letters 1820s-1834; 1850)	present
archive_threeyearsamongi00jame.txt	https://archive.org/details/threeyearsamongi00jame	Thomas James, Three Years Among the Indians and Mexicans (1846; 1916 reprint)	present
archive_sketchesrecollec00cabe.txt	https://archive.org/details/sketchesrecollec00cabe	M.A. Cabell, Sketches and Recollections of Lynchburg (1858)	present
archive_lynchburgitspeop00chri.txt	https://archive.org/details/lynchburgitspeop00chri	W.A. Christian, Lynchburg and Its People (1900)	present
archive_sketchbookoflync00poll.txt	https://archive.org/details/sketchbookoflync00poll	Pollock (ed.), Sketch Book of Lynchburg, Va. (1887)	present
archive_accountofexpedit02jame.txt	https://archive.org/details/accountofexpedit02jame	Edwin James, Account of an Expedition from Pittsburgh to the Rocky Mountains vol. 2 (1823)	present
archive_lettersfromsouth00paul.txt	https://archive.org/details/lettersfromsouth00paul	J.K. Paulding, Letters from the South (1817)	present
archive_lettersfromwestc00hall.txt	https://archive.org/details/lettersfromwestc00hall	James Hall, Letters from the West (1828)	present
archive_lifeandletterse00harrgoog.txt	https://archive.org/details/lifeandletterse00harrgoog	J.A. Harrison, Life and Letters of Edgar Allan Poe (1903; Poe letters)	present
archive_southernhistoric13sout.txt	https://archive.org/details/southernhistoric13sout	Southern Historical Society Papers vol. 13 (1885)	FAILED
archive_mannerssocialus00shergoog.txt	https://archive.org/details/mannerssocialus00shergoog	M.E.W. Sherwood, Manners and Social Usages (1887) [dating check only]	present
archive_touronprairies00irvi.txt	https://archive.org/details/touronprairies00irvi	Washington Irving, A Tour on the Prairies (1835)	present
